item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
CCR-11-7151	11 CCR § 7151	Stakeholder Involvement for Risk Assessments.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	1109	6d1494fbf66f35d5aeb6c7ca0bcfadff12126d6f0d9b14c528bd03df07fa5815
CCR-11-7152	11 CCR § 7152	Risk Assessment Requirements.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	7766	74aaac3a500cdac26d71de0e344c08491089a483422bd83b871d1672d168eaa3
CCR-11-7153	11 CCR § 7153	Additional Requirements for Businesses that Process Personal Information to Train Automated Decisionmaking Technology.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	645	b9e1c2408206791d4043218106db6c778e951353ea142c9364b9fcb916cf7196
CCR-11-7154	11 CCR § 7154	Goal of a Risk Assessment.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	390	7bf02c8c1e8bbd7f5634bc2f1ae8573ec341fc0ad547e4549c9132d0130ab9ab
CCR-11-7155	11 CCR § 7155	Timing and Retention Requirements for Risk Assessments.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	2372	372f372e4b1b4fb3b52120757e4325da3fee0f63dc3ece68907bf326c8804f9d
CCR-11-7156	11 CCR § 7156	Conducting Risk Assessments for a Comparable Set of Processing Activities or in Compliance with Other Laws or Regulations.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	2505	1e091d29948468bd2c1648042ee60ecbacbc3324645755c0c1b0f8298d4e45b8
CCR-11-7157	11 CCR § 7157	Submission of Risk Assessments to the Agency.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	3087	2dbcc6db99931e4e0a6e0143d97f7c5611eb891dd53072432ed7d73785a08620
CCR-11-7200	11 CCR § 7200	When a Business’s Use of Automated Decisionmaking Technology is Subject to the Requirements of This Article.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	694	798462cb3d594717eb3bfd69835503c33dd060fd23c288e36690ac7867b50001
CCR-11-7220	11 CCR § 7220	Pre-use Notice Requirements.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	6599	b32406cda3f9c4155ee6ac0a76a67a7ea1ab0ec4523e7f0e9179e61dc6ac8322
CCR-11-7221	11 CCR § 7221	Requests to Opt-Out of ADMT.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	8028	728c46245debeb2b19ef6cd7b46eace47970267cd641d5c5682018e8df0b1d86
